Song,Count
Night In Tunisia,25
Black Orpheus,21
Take The A Train,18
On Green Dolphin Street,17
Well You Needn't,17
St Thomas,16
Billie's Bounce,15
Blue Bossa,15
Recordame,15
All Blues,14
Autumn Leaves,14
Caravan,14
All Of Me,13
Cherokee,13
Corcovado,13
Summertime,13
Blue Monk,12
Mr P.C.,12
Softly As In A Morning Sunrise,12
Bye Bye Blackbird,10
Doxy,10
Epistrophy,10
Footprints,10
Invitation,10
It Could Happen To You,10
Song For My Father,10
There Will Never Be Another You,10
This I Dig Of You,10
Desafinado,9
How High The Moon,9
Lucky Southern,9
Misty,9
Moanin',9
Watermelon Man,9
You Don't Know What Love Is,9
Afro Blue,8
All The Things You Are,8
Bernie's Tune,8
I Wish I Knew How It Would Feel To Be Free,8
Ornithology,8
Some Day My Prince Will Come,8
Body And Soul,7
Comes Love,7
Four,7
Girl From Ipanema,7
Lullaby Of Birdland,7
Stella By Starlight,7
There Is No Greater Love,7
500 Miles High,6
Anthropology,6
Bags Groove,6
Beautiful Love,6
Donna Lee,6
I Hear A Rhapsody,6
So What,6
Take Five,6
Twisted,6
What A Little Moonlight Can Do,6
Bohemia After Dark,5
Chameleon,5
Do Nothing Till You Hear From Me,5
Equinox,5
Fly Me To the Moon,5
Foggy Day,5
Georgia,5
Lover Man,5
Solar,5
Stolen Moments,5
Tenor Madness,5
The Chicken,5
Yesterdays,5
Better Get Hit In Your Soul,4
Birk's Works,4
Blues For Alice,4
Bye-Ya,4
Days Of Wine And Roses,4
Honeysuckle Rose,4
If I Were A Bell,4
Love For Sale,4
Mood Indigo,4
Moonlight In Vermont,4
Naima,4
No Moon At All,4
Speak No Evil,4
Straight No Chaser,4
Valse Hot,4
Woody'n You,4
At Last,3
Au Privave,3
Broadway,3
Cousin Mary,3
Fee Fi Fo Fum,3
Freddie Freeloader,3
Groovin' High,3
Have You Met Miss Jones,3
I Got Rhythm,3
In Your Own Sweet Way,3
Isfahan,3
Just Friends,3
Lady Bird,3
Little Sunflower,3
Mercy Mercy Mercy,3
My Funny Valentine,3
My Little Suede Shoes,3
Nardis,3
Night and Day,3
On A Slow Boat To China,3
On The Sunny Side Of The Street,3
Our Love Is Here To Stay,3
Round Midnight,3
Satin Doll,3
Strasbourg St Denis,3
What A Difference A Day Makes,3
What Is This Thing Called Love,3
Ask Me Now,2
Besame Mucho,2
Beyond The Sea,2
Black Nile,2
Blue Bolivar Blues,2
Blue In Green,2
Blue Skies,2
Blue Train,2
Cantaloupe Island,2
Cheek To Cheek,2
Come Rain Or Come Shine,2
Dont' Get Around Much Any More,2
Greensleeves,2
I Thought About You,2
In Walked Bud,2
Jumpon' At The Woodside,2
Maiden Voyage,2
My Favourite Things,2
My Shining Hour,2
Nature Boy,2
O Grande Amor,2
Off Minor,2
One Note Samba,2
Reflections,2
Rhythm A Ning,2
The Lady Is A Tramp,2
Tune up,2
Wave,2
What's New,2
Work Song,2
Afternoon In Paris,1
Aint Misbehavin',1
Airegin,1
Alice In Wonderland,1
Alone Together,1
Angel Eyes,1
Basin Street Blues,1
Beatrice,1
Bessies Blues,1
Black Coffee,1
Blues By Five,1
Blues In The Closet,1
Bright Size Life,1
But Beautiful ,1
Buzzy,1
C Jam Blues,1
Can't Help Lovin That Man,1
Can't Take That Away From Me,1
Central Park West,1
Chega De Saudade,1
Confirmation,1
Cottontail ,1
Countdown,1
Darn That Dream,1
East Of The Sun And West Of The Moon,1
Embraceable You,1
ESP,1
Everything Happens To Me,1
Exactly Like You,1
Five Spot After Dark,1
For Heaven's Sake,1
Four on Six,1
Gee Baby Ain't I Good To You,1
Giant Steps,1
Gone With The Wind,1
Good Bait,1
Hackensack,1
Here's That Rainy Day,1
Ho Ba La La,1
Hot House,1
How Deep Is The Ocean,1
How Insensitive,1
I Can't Get Started,1
I Didn't Know What Time It Was,1
I Got It Bad And That Ain't Good,1
I Should Care,1
I'll Remember April,1
If I Should Lose You,1
In A Mellow Tone ,1
In A Sentimental Mood,1
It Don't Mean A Thing,1
It Never Entered My Mind,1
Joy Spring,1
Jumpin' With Symphony Sid,1
Let's Face the Music and Dance,1
Locomotion,1
Manteca,1
Milestones,1
Moody's Mood For Love,1
Moondance,1
Moonglow,1
My Buddy,1
Night Dreamer,1
Now's The Time,1
Nutty,1
Oleo,1
One Foot In The Gutter,1
Orange Colored Sky,1
Perdido,1
Red Baron,1
Red Clay,1
Ruby My Dear,1
Sandu,1
Scrapple From The Apple,1
Smile,1
Sophisticated Lady,1
Speak Low,1
Stormy Weather,1
Taking A Chance On Love,1
Tangerine,1
Tenderly,1
That Old Black Magic,1
The Nearness Of You,1
Walkin',1
West Coast Blues,1
When I Fall In Love,1
Who Can I Turn To,1
With A Song In My Heart,1
You Stepped Out Of A Dream,1